AA vs 32o | 90.00% 10.00%
AA vs 22 | 80.00% 20.00%
AKs vs AKs | 65.00% 35.00%
AKs vs AKo | 50.00% 50.00%
AKs vs AQs | 80.00% 20.00%
AKs vs AQo | 75.00% 25.00%
AKs vs AJs | 60.00% 40.00%
AKs vs AJo | 80.00% 20.00%
AKs vs ATs | 80.00% 20.00%
AKs vs ATo | 80.00% 20.00%
AKs vs A9s | 60.00% 40.00%
AKs vs A9o | 60.00% 40.00%
AKs vs A8s | 45.00% 55.00%
AKs vs A8o | 70.00% 30.00%
AKs vs A7s | 65.00% 35.00%
AKs vs A7o | 65.00% 35.00%
AKs vs A6s | 70.00% 30.00%
AKs vs A6o | 60.00% 40.00%
AKs vs A5s | 85.00% 15.00%
AKs vs A5o | 60.00% 40.00%
AKs vs A4s | 65.00% 35.00%
AKs vs A4o | 65.00% 35.00%
AKs vs A3s | 80.00% 20.00%
AKs vs A3o | 85.00% 15.00%
AKs vs A2s | 65.00% 35.00%
AKs vs A2o | 70.00% 30.00%
AKs vs KK | 20.00% 80.00%
AKs vs KQs | 90.00% 10.00%
AKs vs KQo | 70.00% 30.00%
AKs vs KJs | 70.00% 30.00%
AKs vs KJo | 90.00% 10.00%
AKs vs KTs | 90.00% 10.00%
AKs vs KTo | 80.00% 20.00%
AKs vs K9s | 100.00% 0.00%
AKs vs K9o | 90.00% 10.00%
AKs vs K8s | 60.00% 40.00%
AKs vs K8o | 50.00% 50.00%
AKs vs K7s | 90.00% 10.00%
AKs vs K7o | 90.00% 10.00%
AKs vs K6s | 90.00% 10.00%
AKs vs K6o | 90.00% 10.00%
AKs vs K5s | 70.00% 30.00%
AKs vs K5o | 90.00% 10.00%
AKs vs K4s | 50.00% 50.00%
AKs vs K4o | 100.00% 0.00%
AKs vs K3s | 80.00% 20.00%
AKs vs K3o | 100.00% 0.00%
AKs vs K2s | 70.00% 30.00%
AKs vs K2o | 90.00% 10.00%
AKs vs QQ | 60.00% 40.00%
AKs vs QJs | 50.00% 50.00%
AKs vs QJo | 80.00% 20.00%
AKs vs QTs | 60.00% 40.00%
AKs vs QTo | 90.00% 10.00%
AKs vs Q9s | 70.00% 30.00%
AKs vs Q9o | 80.00% 20.00%
AKs vs Q8s | 60.00% 40.00%
AKs vs Q8o | 90.00% 10.00%
AKs vs Q7s | 80.00% 20.00%
AKs vs Q7o | 50.00% 50.00%
AKs vs Q6s | 60.00% 40.00%
AKs vs Q6o | 60.00% 40.00%
AKs vs Q5s | 65.00% 35.00%
AKs vs Q5o | 80.00% 20.00%
AKs vs Q4s | 80.00% 20.00%
AKs vs Q4o | 80.00% 20.00%
AKs vs Q3s | 80.00% 20.00%
AKs vs Q3o | 60.00% 40.00%
AKs vs Q2s | 40.00% 60.00%
AKs vs Q2o | 60.00% 40.00%
AKs vs JJ | 40.00% 60.00%
AKs vs JTs | 50.00% 50.00%
AKs vs JTo | 60.00% 40.00%
AKs vs J9s | 50.00% 50.00%
AKs vs J9o | 70.00% 30.00%
AKs vs J8s | 70.00% 30.00%
AKs vs J8o | 70.00% 30.00%
AKs vs J7s | 40.00% 60.00%
AKs vs J7o | 50.00% 50.00%
AKs vs J6s | 60.00% 40.00%
AKs vs J6o | 60.00% 40.00%
AKs vs J5s | 60.00% 40.00%
AKs vs J5o | 80.00% 20.00%
AKs vs J4s | 40.00% 60.00%
AKs vs J4o | 60.00% 40.00%
AKs vs J3s | 90.00% 10.00%
AKs vs J3o | 80.00% 20.00%
AKs vs J2s | 55.00% 45.00%
AKs vs J2o | 80.00% 20.00%
AKs vs TT | 40.00% 60.00%
AKs vs T9s | 70.00% 30.00%
AKs vs T9o | 50.00% 50.00%
AKs vs T8s | 70.00% 30.00%
AKs vs T8o | 50.00% 50.00%
AKs vs T7s | 60.00% 40.00%
AKs vs T7o | 80.00% 20.00%
AKs vs T6s | 70.00% 30.00%
AKs vs T6o | 60.00% 40.00%
AKs vs T5s | 60.00% 40.00%
AKs vs T5o | 80.00% 20.00%
AKs vs T4s | 70.00% 30.00%
AKs vs T4o | 70.00% 30.00%
AKs vs T3s | 70.00% 30.00%
AKs vs T3o | 60.00% 40.00%
AKs vs T2s | 70.00% 30.00%
AKs vs T2o | 100.00% 0.00%
AKs vs 99 | 40.00% 60.00%
AKs vs 98s | 80.00% 20.00%
AKs vs 98o | 70.00% 30.00%
AKs vs 97s | 70.00% 30.00%
AKs vs 97o | 70.00% 30.00%
AKs vs 96s | 70.00% 30.00%
AKs vs 96o | 80.00% 20.00%
AKs vs 95s | 40.00% 60.00%
AKs vs 95o | 80.00% 20.00%
AKs vs 94s | 80.00% 20.00%
AKs vs 94o | 70.00% 30.00%
AKs vs 93s | 60.00% 40.00%
AKs vs 93o | 80.00% 20.00%
AKs vs 92s | 70.00% 30.00%
AKs vs 92o | 40.00% 60.00%
AKs vs 88 | 40.00% 60.00%
AKs vs 87s | 50.00% 50.00%
AKs vs 87o | 60.00% 40.00%
AKs vs 86s | 70.00% 30.00%
AKs vs 86o | 70.00% 30.00%
AKs vs 85s | 70.00% 30.00%
AKs vs 85o | 90.00% 10.00%
AKs vs 84s | 35.00% 65.00%
AKs vs 84o | 80.00% 20.00%
AKs vs 83s | 50.00% 50.00%
AKs vs 83o | 50.00% 50.00%
AKs vs 82s | 80.00% 20.00%
AKs vs 82o | 75.00% 25.00%
AKs vs 77 | 90.00% 10.00%
AKs vs 76s | 70.00% 30.00%
AKs vs 76o | 40.00% 60.00%
AKs vs 75s | 50.00% 50.00%
AKs vs 75o | 80.00% 20.00%
AKs vs 74s | 60.00% 40.00%
AKs vs 74o | 50.00% 50.00%
AKs vs 73s | 60.00% 40.00%
AKs vs 73o | 60.00% 40.00%
AKs vs 72s | 80.00% 20.00%
AKs vs 72o | 80.00% 20.00%
AKs vs 66 | 30.00% 70.00%
AKs vs 65s | 45.00% 55.00%
AKs vs 65o | 70.00% 30.00%
AKs vs 64s | 60.00% 40.00%
AKs vs 64o | 40.00% 60.00%
AKs vs 63s | 60.00% 40.00%
AKs vs 63o | 40.00% 60.00%
AKs vs 62s | 40.00% 60.00%
AKs vs 62o | 70.00% 30.00%
AKs vs 55 | 40.00% 60.00%
AKs vs 54s | 40.00% 60.00%
AKs vs 54o | 60.00% 40.00%
AKs vs 53s | 80.00% 20.00%
AKs vs 53o | 70.00% 30.00%
AKs vs 52s | 70.00% 30.00%
AKs vs 52o | 90.00% 10.00%
AKs vs 44 | 60.00% 40.00%
AKs vs 43s | 70.00% 30.00%
AKs vs 43o | 80.00% 20.00%
AKs vs 42s | 60.00% 40.00%
AKs vs 42o | 60.00% 40.00%
AKs vs 33 | 40.00% 60.00%
AKs vs 32s | 70.00% 30.00%
AKs vs 32o | 80.00% 20.00%
AKs vs 22 | 60.00% 40.00%
AKo vs AKo | 55.00% 45.00%
AKo vs AQs | 70.00% 30.00%
AKo vs AQo | 75.00% 25.00%
AKo vs AJs | 85.00% 15.00%
AKo vs AJo | 80.00% 20.00%
AKo vs ATs | 75.00% 25.00%
AKo vs ATo | 90.00% 10.00%
AKo vs A9s | 85.00% 15.00%
AKo vs A9o | 80.00% 20.00%
AKo vs A8s | 75.00% 25.00%
AKo vs A8o | 85.00% 15.00%
AKo vs A7s | 70.00% 30.00%
AKo vs A7o | 55.00% 45.00%
AKo vs A6s | 50.00% 50.00%
AKo vs A6o | 100.00% 0.00%
AKo vs A5s | 55.00% 45.00%
AKo vs A5o | 70.00% 30.00%
AKo vs A4s | 90.00% 10.00%
AKo vs A4o | 55.00% 45.00%
AKo vs A3s | 60.00% 40.00%
AKo vs A3o | 60.00% 40.00%
AKo vs A2s | 60.00% 40.00%
AKo vs A2o | 60.00% 40.00%
AKo vs KK | 30.00% 70.00%
AKo vs KQs | 50.00% 50.00%
AKo vs KQo | 90.00% 10.00%
AKo vs KJs | 80.00% 20.00%
AKo vs KJo | 40.00% 60.00%
AKo vs KTs | 70.00% 30.00%
